#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
secret_qarmatian_community;Secret [qarmatian.GetName] Community;;;;;;;;;;;;;x
secret_qarmatian_community_desc;In secret, the [qarmatian.GetName] faithful have organized around a small community in this province. From there it converts others, grows, and protects its own.;;;;;;;;;;;;;x
secret_religious_society_qarmatian;the [qarmatian.GetName] Society;;;;;;;;;;;;;x
secret_religious_society_qarmatian_currency;Devotion;;;;;;;;;;;;;x
secret_religious_society_qarmatian_desc;In this society, secret followers of the [qarmatian.GetName] religion try to advance their true faith and hope to one day be able to openly adopt it.;;;;;;;;;;;;;x
secret_religious_society_qarmatian_leader_desc;The High Priest, leading the international effort of bringing more people into the fold.;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_1_female;Faithful;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_1_male;Faithful;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_2_female;Adherent;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_2_male;Adherent;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_3_female;Preacher;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_3_male;Preacher;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_4_female;Herald;;;;;;;;;;;;;x
secret_religious_society_qarmatian_rank_4_male;Herald;;;;;;;;;;;;;x
secretly_convert_to_bogomilist_holy_site;Secretly Convert to [bogomilist.GetName];;;;;;;;;;;;;x
secretly_convert_to_bogomilist_holy_site_desc;The §Y[bogomilist.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_cathar_holy_site;Secretly Convert to [cathar.GetName];;;;;;;;;;;;;x
secretly_convert_to_cathar_holy_site_desc;The §Y[cathar.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_druze_holy_site;Secretly Convert to [druze.GetName];;;;;;;;;;;;;x
secretly_convert_to_druze_holy_site_desc;The §Y[druze.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_fraticelli_holy_site;Secretly Convert to [fraticelli.GetName];;;;;;;;;;;;;x
secretly_convert_to_fraticelli_holy_site_desc;The §Y[fraticelli.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_hellenic_pagan_holy_site;Secretly Convert to [hellenic_pagan.GetName];;;;;;;;;;;;;x
secretly_convert_to_hellenic_pagan_holy_site_desc;The §Y[hellenic_pagan.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_hurufi_holy_site;Secretly Convert to [hurufi.GetName];;;;;;;;;;;;;x
secretly_convert_to_hurufi_holy_site_desc;The §Y[hurufi.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_iconoclast_holy_site;Secretly Convert to [iconoclast.GetName];;;;;;;;;;;;;x
secretly_convert_to_iconoclast_holy_site_desc;The §Y[iconoclast.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_karaite_holy_site;Secretly Convert to [karaite.GetName];;;;;;;;;;;;;x
secretly_convert_to_karaite_holy_site_desc;The §Y[karaite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_kharijite_holy_site;Secretly Convert to [kharijite.GetName];;;;;;;;;;;;;x
secretly_convert_to_kharijite_holy_site_desc;The §Y[kharijite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_khurmazta_holy_site;Secretly Convert to [khurmazta.GetName];;;;;;;;;;;;;x
secretly_convert_to_khurmazta_holy_site_desc;The §Y[khurmazta.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_lollard_holy_site;Secretly Convert to [lollard.GetName];;;;;;;;;;;;;x
secretly_convert_to_lollard_holy_site_desc;The §Y[lollard.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_manichean_holy_site;Secretly Convert to [manichean.GetName];;;;;;;;;;;;;x
secretly_convert_to_manichean_holy_site_desc;The §Y[manichean.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_mazdaki_holy_site;Secretly Convert to [mazdaki.GetName];;;;;;;;;;;;;x
secretly_convert_to_mazdaki_holy_site_desc;The §Y[mazdaki.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_messalian_holy_site;Secretly Convert to [messalian.GetName];;;;;;;;;;;;;x
secretly_convert_to_messalian_holy_site_desc;The §Y[messalian.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_monophysite_holy_site;Secretly Convert to [monophysite.GetName];;;;;;;;;;;;;x
secretly_convert_to_monophysite_holy_site_desc;The §Y[monophysite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_monothelite_holy_site;Secretly Convert to [monothelite.GetName];;;;;;;;;;;;;x
secretly_convert_to_monothelite_holy_site_desc;The §Y[monothelite.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_paulician_holy_site;Secretly Convert to [paulician.GetName];;;;;;;;;;;;;x
secretly_convert_to_paulician_holy_site_desc;The §Y[paulician.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_qarmatian_holy_site;Secretly Convert to [qarmatian.GetName];;;;;;;;;;;;;x
secretly_convert_to_qarmatian_holy_site_desc;The §Y[qarmatian.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_samaritan_holy_site;Secretly Convert to [samaritan.GetName];;;;;;;;;;;;;x
secretly_convert_to_samaritan_holy_site_desc;The §Y[samaritan.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_waldensian_holy_site;Secretly Convert to [waldensian.GetName];;;;;;;;;;;;;x
secretly_convert_to_waldensian_holy_site_desc;The §Y[waldensian.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_yazidi_holy_site;Secretly Convert to [yazidi.GetName];;;;;;;;;;;;;x
secretly_convert_to_yazidi_holy_site_desc;The §Y[yazidi.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
secretly_convert_to_zikri_holy_site;Secretly Convert to [zikri.GetName];;;;;;;;;;;;;x
secretly_convert_to_zikri_holy_site_desc;The §Y[zikri.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x
